DATE,GDP_PCH,TB3MS,DGS10,GDP
1962-01-01,2.30808,2.72,3.86,594.013
1962-04-01,1.06951,2.73,4.00,600.366
1962-07-01,1.44262,2.78,3.94,609.027
1962-10-01,0.53413,2.87,3.85,612.28
1963-01-01,1.53394,2.89,3.95,621.672
1963-04-01,1.29972,2.99,4.00,629.752
1963-07-01,2.33298,3.38,4.07,644.444
1963-10-01,1.47321,3.52,4.14,653.938
1964-01-01,2.42898,3.54,4.23,669.822
1964-04-01,1.32155,3.48,4.15,678.674
1964-07-01,1.96810,3.53,4.18,692.031
1964-10-01,0.76413,3.84,4.21,697.319
1965-01-01,2.93567,3.93,4.20,717.79
1965-04-01,1.72766,3.80,4.20,730.191
1965-07-01,2.62014,3.92,4.35,749.323
1965-10-01,3.00725,4.38,4.65,771.857
1966-01-01,3.09345,4.59,4.71,795.734
1966-04-01,1.16207,4.50,4.97,804.981
1966-07-01,1.82079,5.37,5.02,819.638
1966-10-01,1.66708,4.96,4.64,833.302
1967-01-01,1.30421,4.26,4.50,844.17
1967-04-01,0.57015,3.54,5.22,848.983
1967-07-01,1.91405,4.42,5.31,865.233
1967-10-01,1.87302,4.97,5.70,881.439
1968-01-01,3.17072,5.17,5.76,909.387
1968-04-01,2.74438,5.52,5.64,934.344
1968-07-01,1.76391,5.19,5.49,950.825
1968-10-01,1.80948,5.96,6.16,968.03
1969-01-01,2.61428,6.02,6.30,993.337
1969-04-01,1.57882,6.44,6.73,1009.02
1969-07-01,2.07488,7.09,7.51,1029.956
1969-10-01,0.79528,7.82,7.88,1038.147
1970-01-01,1.25734,6.63,7.08,1051.2
1970-04-01,1.53872,6.68,7.68,1067.375
1970-07-01,1.75046,6.12,7.29,1086.059
1970-10-01,0.23470,4.87,6.50,1088.608
1971-01-01,4.27592,3.38,5.53,1135.156
1971-04-01,1.86010,4.75,6.70,1156.271
1971-07-01,1.85112,4.69,6.00,1177.675
1971-10-01,1.07177,4.01,5.89,1190.297
1972-01-01,3.38672,3.73,6.12,1230.609
1972-04-01,2.90588,3.91,6.15,1266.369
1972-07-01,1.91074,4.66,6.54,1290.566
1972-10-01,2.97063,5.07,6.41,1328.904
1973-01-01,3.65610,6.09,6.73,1377.49
1973-04-01,2.64227,7.19,6.94,1413.887
1973-07-01,1.41107,8.29,6.90,1433.838
1973-10-01,2.96066,7.45,6.90,1476.289
1974-01-01,1.01064,7.96,7.41,1491.209
1974-04-01,2.60507,7.90,7.64,1530.056
1974-07-01,1.95875,8.06,7.94,1560.026
1974-10-01,2.54182,7.15,7.40,1599.679
1975-01-01,1.02752,5.49,8.01,1616.116
1975-04-01,2.21129,5.34,7.96,1651.853
1975-07-01,3.50921,6.42,8.48,1709.82
1975-10-01,3.04190,5.44,7.76,1761.831
1976-01-01,3.32926,5.00,7.66,1820.487
1976-04-01,1.74926,5.41,7.86,1852.332
1976-07-01,1.84772,5.08,7.55,1886.558
1976-10-01,2.52921,4.35,6.81,1934.273
1977-01-01,2.81113,4.60,7.42,1988.648
1977-04-01,3.38225,5.02,7.20,2055.909
1977-07-01,3.04313,5.81,7.41,2118.473
1977-10-01,2.16179,6.07,7.78,2164.27
1978-01-01,1.77843,6.29,8.15,2202.76
1978-04-01,5.85052,6.73,8.62,2331.633
1978-07-01,2.71998,7.85,8.56,2395.053
1978-10-01,3.41938,9.08,9.15,2476.949
1979-01-01,2.00493,9.48,9.11,2526.61
1979-04-01,2.55825,9.06,8.81,2591.247
1979-07-01,2.94522,10.26,9.44,2667.565
1979-10-01,2.11121,12.04,10.33,2723.883
1980-01-01,2.42151,15.20,12.64,2789.842
1980-04-01,0.26919,7.07,10.09,2797.352
1980-07-01,2.11382,10.27,11.86,2856.483
1980-10-01,4.51863,15.49,12.43,2985.557
1981-01-01,4.64399,13.36,13.13,3124.206
1981-04-01,1.22674,14.73,13.86,3162.532
1981-07-01,3.10122,14.70,15.84,3260.609
1981-10-01,0.61979,10.85,13.98,3280.818
1982-01-01,-0.19861,12.68,14.18,3274.302
1982-04-01,1.76129,12.47,14.44,3331.972
1982-07-01,1.03092,7.92,11.73,3366.322
1982-10-01,1.07652,7.94,10.36,3402.561
1983-01-01,2.08231,8.35,10.62,3473.413
1983-04-01,3.03549,8.79,10.96,3578.848
1983-07-01,3.08286,9.00,11.44,3689.179
1983-10-01,2.86045,9.00,11.82,3794.706
1984-01-01,2.98700,9.52,12.53,3908.054
1984-04-01,2.59840,9.87,13.84,4009.601
1984-07-01,1.86176,10.37,12.47,4084.25
1984-10-01,1.57436,8.06,11.55,4148.551
1985-01-01,1.96736,8.52,11.65,4230.168
1985-04-01,1.52994,6.95,10.25,4294.887
1985-07-01,2.13943,7.10,10.31,4386.773
1985-10-01,1.30668,7.10,9.00,4444.094
1986-01-01,1.43561,6.56,7.39,4507.894
1986-04-01,0.83068,6.21,7.35,4545.34
1986-07-01,1.37127,5.21,7.45,4607.669
1986-10-01,1.08424,5.53,7.23,4657.627
1987-01-01,1.38545,5.59,7.51,4722.156
1987-04-01,1.77893,5.67,8.38,4806.16
1987-07-01,1.63114,6.40,9.63,4884.555
1987-10-01,2.52713,5.77,8.83,5007.994
1988-01-01,1.30547,5.70,8.57,5073.372
1988-04-01,2.29954,6.46,8.82,5190.036
1988-07-01,1.78802,7.24,8.87,5282.835
1988-10-01,2.20855,8.07,9.14,5399.509
1989-01-01,2.06952,8.82,9.30,5511.253
1989-04-01,1.83642,8.15,8.10,5612.463
1989-07-01,1.47711,7.75,8.31,5695.365
1989-10-01,0.91078,7.63,7.93,5747.237
1990-01-01,2.18303,7.90,8.65,5872.701
1990-04-01,1.48700,7.73,8.43,5960.028
1990-07-01,0.92429,7.36,8.82,6015.116
1990-10-01,-0.17262,6.74,8.08,6004.733
1991-01-01,0.50702,5.91,8.05,6035.178
1991-04-01,1.51916,5.57,8.24,6126.862
1991-07-01,1.29063,5.22,7.47,6205.937
1991-10-01,0.94431,4.07,6.71,6264.54
1992-01-01,1.57333,4.04,7.54,6363.102
1992-04-01,1.69196,3.66,7.14,6470.763
1992-07-01,1.48171,2.91,6.37,6566.641
1992-10-01,1.73851,3.22,6.70,6680.803
1993-01-01,0.72830,2.95,6.03,6729.459
1993-04-01,1.18108,3.07,5.80,6808.939
1993-07-01,1.07446,2.95,5.40,6882.098
1993-10-01,1.91279,3.06,5.83,7013.738
1994-01-01,1.45306,3.50,6.77,7115.652
1994-04-01,1.84493,4.14,7.34,7246.931
1994-07-01,1.16110,4.62,7.62,7331.075
1994-10-01,1.69434,5.60,7.84,7455.288
1995-01-01,0.89870,5.73,7.20,7522.289
1995-04-01,0.78045,5.47,6.21,7580.997
1995-07-01,1.34716,5.28,6.17,7683.125
1995-10-01,1.16438,5.14,5.58,7772.586
1996-01-01,1.23359,4.96,6.34,7868.468
1996-04-01,2.08900,5.09,6.73,8032.84
1996-07-01,1.22706,5.09,6.72,8131.408
1996-10-01,1.57861,4.91,6.43,8259.771
1997-01-01,1.24560,5.14,6.92,8362.655
1997-04-01,1.86747,4.93,6.51,8518.825
1997-07-01,1.69035,4.95,6.12,8662.823
1997-10-01,1.18996,5.16,5.75,8765.907
1998-01-01,1.14732,5.03,5.67,8866.48
1998-04-01,1.16415,4.98,5.44,8969.699
1998-07-01,1.68788,4.61,4.44,9121.097
1998-10-01,1.89554,4.39,4.65,9293.991
1999-01-01,1.26631,4.44,5.25,9411.682
1999-04-01,1.21687,4.57,5.81,9526.21
1999-07-01,1.68394,4.68,5.90,9686.626
1999-10-01,2.20451,5.20,6.45,9900.169
2000-01-01,1.03039,5.69,6.03,10002.179
2000-04-01,2.45488,5.69,6.03,10247.72
2000-07-01,0.68742,6.00,5.80,10318.165
2000-10-01,1.13953,5.77,5.12,10435.744
2001-01-01,0.33047,4.42,4.93,10470.231
2001-04-01,1.22986,3.49,5.42,10599.0
2001-07-01,-0.00925,2.64,4.60,10598.02
2001-10-01,0.58921,1.69,5.07,10660.465
2002-01-01,1.15412,1.79,5.42,10783.5
2002-04-01,0.96407,1.70,4.86,10887.46
2002-07-01,0.88708,1.63,3.63,10984.04
2002-10-01,0.70460,1.19,3.83,11061.433
2003-01-01,1.01882,1.13,3.83,11174.129
2003-04-01,1.24070,0.92,3.54,11312.766
2003-07-01,2.24439,0.94,3.96,11566.669
2003-10-01,1.77722,0.90,4.27,11772.234
2004-01-01,1.28449,0.94,3.86,11923.447
2004-04-01,1.58820,1.27,4.62,12112.815
2004-07-01,1.58916,1.65,4.14,12305.307
2004-10-01,1.80334,2.19,4.24,12527.214
2005-01-01,1.91640,2.74,4.50,12767.286
2005-04-01,1.21694,2.97,3.94,12922.656
2005-07-01,1.70233,3.42,4.34,13142.642
2005-10-01,1.38147,3.89,4.39,13324.204
2006-01-01,2.06358,4.51,4.86,13599.16
2006-04-01,1.13436,4.79,5.15,13753.424
2006-07-01,0.84898,4.81,4.64,13870.188
2006-10-01,1.22112,4.85,4.71,14039.56
2007-01-01,1.25425,4.94,4.65,14215.651
2007-04-01,1.31145,4.61,5.03,14402.082
2007-07-01,1.12508,3.89,4.59,14564.117
2007-10-01,1.03639,3.00,4.04,14715.058
2008-01-01,-0.05790,1.26,3.45,14706.538
2008-04-01,1.08226,1.86,3.99,14865.701
2008-07-01,0.22399,1.13,3.85,14898.999
2008-10-01,-1.95175,0.03,2.25,14608.208
2009-01-01,-1.21375,0.21,2.71,14430.901
2009-04-01,-0.34416,0.18,3.53,14381.236
2009-07-01,0.47038,0.12,3.31,14448.882
2009-10-01,1.40057,0.05,3.85,14651.248
2010-01-01,0.77374,0.15,3.84,14764.611
2010-04-01,1.46013,0.12,2.97,14980.193
2010-07-01,1.07750,0.15,2.53,15141.605
2010-10-01,1.10864,0.14,3.30,15309.471
2011-01-01,0.27416,0.10,3.47,15351.444
2011-04-01,1.34249,0.04,3.18,15557.535
2011-07-01,0.57944,0.01,1.92,15647.681
2011-10-01,1.24355,0.01,1.89,15842.267
2012-01-01,1.43008,0.08,2.23,16068.824
2012-04-01,0.86071,0.09,1.67,16207.13
2012-07-01,0.69358,0.11,1.65,16319.54
2012-10-01,0.61795,0.07,1.78,16420.386
2013-01-01,1.27076,0.09,1.87,16629.05
2013-04-01,0.42396,0.05,2.52,16699.551
2013-07-01,1.26660,0.02,2.64,16911.068
2013-10-01,1.31302,0.07,3.04,17133.114
2014-01-01,0.06518,0.05,2.73,17144.281
2014-04-01,1.85731,0.04,2.53,17462.703
2014-07-01,1.60642,0.02,2.52,17743.227
2014-10-01,0.61608,0.03,2.17,17852.54
